Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Southern Severe Storms and Flooding (April 1980)",Flooding,19800410,19800417,2728.1,706.8,7
"Hurricane Allen (August 1980)",Tropical Cyclone,19800807,19800811,2212.6,590,13
"Central/Eastern Drought/Heat Wave (Summer-Fall 1980)",Drought,19800601,19801130,40180.2,10020,1260
"Florida Freeze (January 1981)",Freeze,19810112,19810114,2053.5,572,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1397,401.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2191,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1589.8,483.2,33
"Severe Storms (June 1982)",Severe Storm,19820531,19820610,1564.5,479.9,30
"Gulf States Storms and Flooding (December 1982-January 1983)",Flooding,19821201,19830115,4900.1,1536.1,45
"Western Storms and Flooding (December 1982-March 1983)",Flooding,19821213,19830331,4783.8,1499.6,50
"Hurricane Alicia (August 1983)",Tropical Cyclone,19830817,19830820,9360,3000,21
"Southeast Drought (Summer 1983)",Drought,19830601,19830831,9455.5,2964.1,0
"Arizona Flooding (October 1983)",Flooding,19830929,19831003,1240,400,14
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6398.8,2005.8,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1833.1,603.1,80
"Severe Storms and Hail (June 1984)",Severe Storm,19840613,19840617,1343.1,446.2,1
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2477.2,836.9,150
"Florida Freeze (January 1985)",Freeze,19850120,19850122,3552,1200,0
"Ohio and Pennsylvania Tornado Outbreak (June 1985)",Severe Storm,19850531,19850531,1740,600,89
"Hurricane Elena (September 1985)",Tropical Cyclone,19850830,19850903,3749.5,1297.4,4
"Hurricane Gloria (September 1985)",Tropical Cyclone,19850926,19850928,2465.5,856.1,11
"Hurricane Juan (October 1985)",Tropical Cyclone,19851027,19851031,4295.6,1496.7,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,19851103,19851108,4018,1400,62
"Western Severe Storms and Flooding (February 1986)",Severe Storm,19860214,19860216,1515.1,529.8,13
